# Merged run metadata for plotting. One row per run.
#run:fill,time,delivered(/fb),recorded(/fb),integrated_recorded(/fb)
357812:8149,08/22/22 02:23:37,0.015217815,0.014521098,7.237732104
357813:8149,08/22/22 02:44:13,0.082912992,0.079167041,7.316899145
357814:8149,08/22/22 04:39:13,0.054551168,0.050887257,7.367786402
357815:8149,08/22/22 06:04:22,0.199162842,0.193992442,7.561778844
357898:8151,08/23/22 02:26:33,0.112016133,0.105071805,7.666850649
357899:8151,08/23/22 04:29:12,0.195384860,0.186117035,7.852967684
357900:8151,08/23/22 08:38:20,0.123511442,0.117924054,7.970891738
359569:8210,09/29/22 14:40:17,0.001319008,0.001313404,7.972205142
359571:8210,09/29/22 15:29:19,0.002374631,0.002348456,7.974553598
359575:8210,09/29/22 16:41:25,0.001285422,0.001265174,7.975818772
359595:8211,09/30/22 00:53:50,0.006373335,0.006247711,7.982066483
359597:8211,09/30/22 02:45:13,0.002159208,0.002132121,7.984198604
359602:8212,09/30/22 05:24:24,0.005801352,0.005432578,7.989631182
359609:8212,09/30/22 08:00:32,0.001964625,0.001672407,7.991303589
359612:8212,09/30/22 08:31:57,0.000947835,0.000759440,7.992063029
359661:8214,09/30/22 14:54:53,0.009547367,0.009069425,8.001132454
359685:8216,09/30/22 22:05:59,0.021002926,0.020796878,8.021929332
359686:8216,09/30/22 23:11:45,0.114490793,0.113620681,8.135550013
359691:8220,10/01/22 10:46:50,0.038273860,0.036556873,8.172106886
359693:8220,10/01/22 12:12:09,0.168139336,0.162173072,8.334279958
359694:8220,10/01/22 16:13:37,0.220390093,0.215346917,8.549626875
359699:8221,10/02/22 02:39:50,0.421583250,0.408576166,8.958203041
359718:8222,10/02/22 20:52:32,0.125625023,0.120624957,9.078827998
359750:8223,10/03/22 11:38:36,0.049693605,0.047973844,9.126801842
359751:8223,10/03/22 13:00:20,0.316412645,0.303855748,9.430657590
359762:8225,10/03/22 23:15:14,0.083234417,0.079604111,9.510261701
359763:8225,10/04/22 00:48:18,0.156282389,0.150338603,9.660600304
359764:8225,10/04/22 04:05:26,0.263143653,0.254408218,9.915008522
359776:8226,10/04/22 13:35:49,0.000211092,0.000210229,9.915218751
359806:8228,10/04/22 22:42:28,0.149408708,0.142621496,10.057840247
359808:8228,10/05/22 01:14:08,0.017719073,0.016455101,10.074295348
359809:8228,10/05/22 01:32:58,0.016190235,0.015207283,10.089502631
359810:8228,10/05/22 01:51:08,0.064924995,0.061839285,10.151341916
359812:8228,10/05/22 03:09:00,0.073467301,0.070240582,10.221582498
359814:8228,10/05/22 04:49:10,0.104234975,0.100484772,10.322067270
359870:8230,10/05/22 19:06:37,0.002414264,0.002218061,10.324285331
359871:8230,10/05/22 19:13:55,0.103901065,0.097958073,10.422243404
359887:8232,10/06/22 05:08:20,0.000313670,0.000312442,10.422555846
359899:8233,10/06/22 10:25:21,0.008307219,0.007732093,10.430287939
359903:8233,10/06/22 12:28:03,0.000315918,0.000301668,10.430589607
359998:8236,10/07/22 16:18:31,0.597604677,0.575817677,11.006407284
360017:8238,10/08/22 11:21:48,0.012133141,0.011509433,11.017916717
360019:8238,10/08/22 11:53:37,0.481756550,0.465555919,11.483472636
360075:8245,10/09/22 20:41:33,0.308286924,0.294996292,11.778468928
360090:8245,10/10/22 04:20:43,0.205439912,0.199082406,11.977551334
360116:8247,10/10/22 14:09:38,0.144223275,0.137741416,12.115292750
360125:8247,10/10/22 17:43:37,0.071127407,0.067838041,12.183130791
360126:8247,10/10/22 19:01:15,0.124430834,0.119319573,12.302450364
360127:8247,10/10/22 21:26:55,0.059941610,0.057739014,12.360189378
360128:8247,10/10/22 22:46:22,0.045383640,0.043967728,12.404157106
360130:8247,10/11/22 00:51:09,0.001023404,0.000861481,12.405018587
360131:8247,10/11/22 00:56:13,0.089937746,0.087370717,12.492389304
360141:8248,10/11/22 05:31:36,0.303972432,0.289861706,12.782251010
360224:8253,10/12/22 01:08:53,0.083711960,0.077493951,12.859744961
360225:8253,10/12/22 02:42:17,0.147689432,0.137616835,12.997361796
360295:8260,10/13/22 02:45:03,0.538526191,0.516225429,13.513587225
