year,run,total,passed,efficiency
2024,381148,170904,162887,95.309062
2024,381150,25885,24632,95.159359
2024,381164,553188,527640,95.381679
2024,381190,681845,650162,95.353343
2024,381191,490853,469958,95.743125
2024,381199,77992,74201,95.139245
2024,381212,231483,220261,95.152128
2024,381286,442733,420580,94.996307
2024,381309,266018,252961,95.091686
2024,381364,231927,220503,95.074312
2024,381365,377035,359461,95.338894
2024,381371,111349,106128,95.311139
2024,381379,515992,492021,95.354385
2024,381380,600455,574729,95.715582
2024,381384,1499647,1433088,95.561689
2024,381417,1000762,954285,95.355839
2024,381443,871557,830299,95.266173
2024,381477,162839,155279,95.357378
2024,381479,282567,269599,95.410646
2024,381480,605775,579475,95.658454
2024,381484,513042,488869,95.288300
2024,381499,109615,104410,95.251562
2024,381500,57801,54981,95.121192
2024,381515,316436,301717,95.348506
2024,381516,832745,796420,95.637920
2024,381543,324760,309464,95.290060
2024,381544,922681,881348,95.520337
2024,382229,32842,31170,94.908958
2024,382250,319381,301562,94.420770
2024,382255,42595,40455,94.975936
2024,382256,41463,39140,94.397415
2024,382257,44103,41559,94.231685
2024,382258,715614,677374,94.656337
2024,382262,115122,109339,94.976633
2024,382298,22173,21059,94.975872
2024,382299,529718,502507,94.863116
2024,382300,564750,536758,95.043471
2024,382313,247485,234683,94.827161
2024,382314,199057,188790,94.842181
2024,382328,46140,43811,94.952319
2024,382329,100726,95521,94.832516
2024,382343,1383974,1313050,94.875337
2024,382344,188283,178661,94.889608
2024,382504,215129,203831,94.748267
2024,382568,252820,239865,94.875801
2024,382580,1019606,967972,94.935887
2024,382594,880474,834096,94.732610
2024,382595,376569,357631,94.970908
2024,382617,433412,410781,94.778409
2024,382626,227034,215365,94.860241
2024,382649,296733,280825,94.638952
2024,382650,158290,151228,95.538568
2024,382654,1044267,999569,95.719677
2024,382655,187717,179982,95.879436
2024,382656,117293,112524,95.934114
2024,382679,30121,28889,95.909830
2024,382684,756498,723785,95.675732
2024,382685,261112,250127,95.792993
2024,382686,64724,62133,95.996848
2024,382725,228422,218674,95.732460
2024,382729,22567,21588,95.661807
2024,382730,33009,31512,95.464873
2024,382750,342844,328237,95.739462
2024,382752,468286,448079,95.684902
2024,382769,932433,891496,95.609658
2024,382770,242137,232455,96.001437
2024,382791,45468,40145,88.292865
2024,382792,46332,43844,94.630061
2024,382794,7570,7152,94.478203
2024,382795,315522,299344,94.872624
2024,382799,384885,364665,94.746483
2024,382810,27395,25968,94.791020
2024,382811,265080,251285,94.795911
2024,382830,33612,32279,96.034154
2024,382834,489837,468791,95.703469
2024,382856,266720,255182,95.674115
2024,382878,554787,530607,95.641571
2024,382913,1243215,1190995,95.799600
2024,382921,775242,742303,95.751133
2024,382922,43932,42084,95.793499
2024,382924,130916,125502,95.864524
2024,382937,304833,289007,94.808305
2024,382960,363747,347872,95.635703
2024,383028,45792,43814,95.680468
